account,avgPx,clOrdID,clOrdLinkID,commission,contingencyType,cumQty,currency,displayQty,exDestination,execComm,execCost,execID,execInst,execType,foreignNotional,homeNotional,lastLiquidityInd,lastMkt,lastPx,lastQty,leavesQty,multiLegReportingType,ordRejReason,ordStatus,ordType,orderID,orderQty,pegOffsetValue,pegPriceType,price,settlCurrency,side,simpleCumQty,simpleLeavesQty,simpleOrderQty,stopPx,symbol,text,timeInForce,timestamp,tradePublishIndicator,transactTime,trdMatchID,triggered,underlyingLastPx,workingIndicator
63908,7620.0,,,0.00075,,50,USD,,XBME,492,656150,914f2aba-6f84-516e-8ad2-3d387fab409f,,Trade,50,-0.0065615,RemovedLiquidity,XBME,7620.0,50,13072,SingleSecurity,,PartiallyFilled,Market,bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,13122,,,7617.5,XBt,Sell,0.0065615,1.7161,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T20:47:32.428Z,PublishTrade,2018-06-07T20:47:32.428Z,6d0b24e8-7767-3ee9-53e2-610d5a885c90,,,True
63908,7619.6282,,,0.00075,,312,USD,,XBME,2579,3438750,2e9d41a3-1ae8-2c86-4bcf-23242f890bce,,Trade,262,-0.0343875,RemovedLiquidity,XBME,7619.0,262,12810,SingleSecurity,,PartiallyFilled,Market,bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,13122,,,7617.5,XBt,Sell,0.040949,1.6817,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T20:47:32.428Z,PublishTrade,2018-06-07T20:47:32.428Z,497648fd-4312-f6b3-6d27-c6be1425ba04,,,True
63908,7619.0476,,,0.00075,,512,USD,,XBME,1968,2625200,35c6e75d-1871-4dad-f01d-8d99101a97ac,,Trade,200,-0.026252,RemovedLiquidity,XBME,7618.5,200,12610,SingleSecurity,,PartiallyFilled,Market,bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,13122,,,7617.5,XBt,Sell,0.067201,1.6554,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T20:47:32.428Z,PublishTrade,2018-06-07T20:47:32.428Z,1419e8fb-6f58-d2d4-9303-3bf83a684078,,,True
63908,7618.4672,,,0.00075,,2512,USD,,XBME,19690,26254000,0fe4591f-3082-35ed-a30d-6b2cb2f8b2ed,,Trade,2000,-0.26254,RemovedLiquidity,XBME,7618.0,2000,10610,SingleSecurity,,PartiallyFilled,Market,bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,13122,,,7617.5,XBt,Sell,0.329741,1.3929,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T20:47:32.428Z,PublishTrade,2018-06-07T20:47:32.428Z,1b6f47de-1037-f45e-84b3-77af5f405f1d,,,True
63908,7617.8868,,,0.00075,,13122,USD,,XBME,104466,139288080,8ed1f3e2-6987-b91f-5e40-e79291f6a442,,Trade,10610,-1.3928808,RemovedLiquidity,XBME,7617.5,10610,0,SingleSecurity,,Filled,Market,bf5aac0f-e7da-cd9c-1cab-eca8df5c3f61,13122,,,7617.5,XBt,Sell,1.7226218,0.0,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T20:47:32.428Z,PublishTrade,2018-06-07T20:47:32.428Z,fe48f2de-0e55-d3a1-6c7c-4e8d1c814730,,,False
63908,7636.5,,,0.00075,,993,USD,,XBME,9752,-13003335,c39b90bb-9902-6768-98d0-0d2c36c03a9c,Close,Trade,-993,0.13003335,RemovedLiquidity,XBME,7636.5,993,12129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.13036104,1.5923,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,7502acf6-6a06-2c66-cdfd-3233d25f2559,,,True
63908,7637.0857,,,0.00075,,1993,USD,,XBME,9820,-13094000,f2fabe78-3bcf-048c-5c29-c0f1ab4dbb76,Close,Trade,-1000,0.13094,RemovedLiquidity,XBME,7637.0,1000,11129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.26164104,1.461,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,55a30e7d-e162-075d-2c99-6a5ee800f48d,,,True
63908,7637.669,,,0.00075,,2993,USD,,XBME,9819,-13092000,2c5b6b1c-e8bf-e212-8a81-baeed56bf094,Close,Trade,-1000,0.13092,RemovedLiquidity,XBME,7638.0,1000,10129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.39292104,1.3297,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,92e256ae-dfb9-5931-ea4d-d9af2d88d74b,,,True
63908,7637.669,,,0.00075,,3993,USD,,XBME,9819,-13092000,035f3939-8f8e-40df-c8c0-87b1a7154e3e,Close,Trade,-1000,0.13092,RemovedLiquidity,XBME,7638.5,1000,9129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.52420104,1.1985,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,76f1616e-46de-9100-31dc-bd095c72d74e,,,True
63908,7638.2524,,,0.00075,,4993,USD,,XBME,9817,-13090000,8ee08e95-6a04-70c5-cd9a-4d4f466ff545,Close,Trade,-1000,0.1309,RemovedLiquidity,XBME,7639.5,1000,8129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.65548104,1.0672,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,3a21ad4b-895d-6e86-f0b9-ce2db0d453f5,,,True
63908,7638.8358,,,0.00075,,5993,USD,,XBME,9816,-13089000,f7d20f4c-1f80-a2af-a1bd-5954806b940b,Close,Trade,-1000,0.13089,RemovedLiquidity,XBME,7640.0,1000,7129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.78676104,0.9359,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,11cae168-ba05-ac1e-a0dd-b68f9203f362,,,True
63908,7638.8358,,,0.00075,,6993,USD,,XBME,9815,-13087000,932423b9-b8de-7cf7-8bf3-4baa9b5a5e94,Close,Trade,-1000,0.13087,RemovedLiquidity,XBME,7641.0,1000,6129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,0.9180410400000001,0.8046,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,7f46bc96-abc2-edca-ccaa-3ce0375d142b,,,True
63908,7639.4194,,,0.00075,,7993,USD,,XBME,9814,-13086000,9fcf2ef6-e785-0fd9-363b-0502a7697f1e,Close,Trade,-1000,0.13086,RemovedLiquidity,XBME,7641.5,1000,5129,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,1.0493210400000001,0.6733,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,195ab269-6a17-4f92-df65-06ae1ed6fe12,,,True
63908,7640.0031,,,0.00075,,11561,USD,,XBME,35018,-46690848,ba4a6ffc-206e-0221-863e-38381f4c97a1,Close,Trade,-3568,0.46690848,RemovedLiquidity,XBME,7642.0,3568,1561,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,1.5177280800000001,0.2049,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,5a39590c-efc2-382b-7054-ef408a38682a,,,True
63908,7640.5868,,,0.00075,,12561,USD,,XBME,9813,-13085000,66836433-af03-39a5-c724-5ef133e9c13c,Close,Trade,-1000,0.13085,RemovedLiquidity,XBME,7642.5,1000,561,SingleSecurity,,PartiallyFilled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,1.6490080800000002,0.0736,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,517e4909-d7ae-ddf6-e18f-e19555ac8a94,,,True
63908,7640.5868,,,0.00075,,13122,USD,,XBME,5505,-7340124,efed2e98-87f0-9385-8955-23cfe072b4f0,Close,Trade,-561,0.07340124,RemovedLiquidity,XBME,7643.0,561,0,SingleSecurity,,Filled,Market,bc25354c-cd6c-ed86-6d18-32d2f28d9ea2,13122,,,7643.0,XBt,Buy,1.72265616,0.0,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:12.099Z,PublishTrade,2018-06-07T21:00:12.099Z,144026e1-95ad-600c-290e-62927dd22d31,,,False
63908,7635.5,,,0.00075,,384,USD,,XBME,3771,5029248,1d85c31a-32a0-e7e2-2fe0-d70faf142eef,,Trade,384,-0.05029248,RemovedLiquidity,XBME,7635.5,384,12553,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.05029248,1.6447,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,fe6c0063-4a86-31d3-0f51-f1669293fb3f,,,True
63908,7635.3363,,,0.00075,,1384,USD,,XBME,9823,13098000,ef385720-6a38-ef82-c3ac-45366e5e295c,,Trade,1000,-0.13098,RemovedLiquidity,XBME,7634.5,1000,11553,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.18127248,1.5137,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,e31f05a8-7831-24de-424e-8bbb368e5299,,,True
63908,7634.7534,,,0.00075,,1884,USD,,XBME,4912,6549500,8f16b426-0e44-7c39-921e-b169518c060a,,Trade,500,-0.065495,RemovedLiquidity,XBME,7634.0,500,11053,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.24676748,1.4482,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,5e4a6d6c-6f18-321f-1d11-ac28c64d2580,,,True
63908,7634.7534,,,0.00075,,2884,USD,,XBME,9825,13100000,b592a209-1997-ad48-1b36-6424f0730356,,Trade,1000,-0.131,RemovedLiquidity,XBME,7633.5,1000,10053,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.37776748000000004,1.3171,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,93761e76-4c55-979a-5190-909abd5644bc,,,True
63908,7634.7534,,,0.00075,,2938,USD,,XBME,530,707454,b9dac288-ec04-b8c6-d34d-9d4e4a057efe,,Trade,54,-0.00707454,RemovedLiquidity,XBME,7633.0,54,9999,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.38484202000000006,1.3101,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,b3f014cf-c241-6799-bcda-0f50cfd4b09c,,,True
63908,7634.1705,,,0.00075,,3938,USD,,XBME,9825,13101000,de25018b-dbab-a7e7-d6a0-e84113f6d50a,,Trade,1000,-0.13101,RemovedLiquidity,XBME,7633.0,1000,8999,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.5158520200000001,1.179,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,c3565971-63a9-e4e5-c418-74cac68342cb,,,True
63908,7634.1705,,,0.00075,,6138,USD,,XBME,21616,28822200,0a07af01-b503-e927-7fa8-846fb462a713,,Trade,2200,-0.288222,RemovedLiquidity,XBME,7633.0,2200,6799,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.8040740200000001,0.8908,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,ad5846f0-4128-5e5f-ab72-18857ea2a44c,,,True
63908,7633.5878,,,0.00075,,7138,USD,,XBME,9825,13101000,a2664d2f-0ba3-24ca-a011-7243c86ec93b,,Trade,1000,-0.13101,RemovedLiquidity,XBME,7633.0,1000,5799,SingleSecurity,,PartiallyFilled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,0.93508402,0.7598,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,de5a58fa-0146-5359-453f-43e0cab6dedd,,,True
63908,7633.5878,,,0.00075,,12937,USD,,XBME,56983,75978498,3ca48b4d-88e2-bf48-9b27-1572a800a6c3,,Trade,5799,-0.75978498,RemovedLiquidity,XBME,7632.5,5799,0,SingleSecurity,,Filled,Market,453e94f3-876f-335c-4ad5-520ac101a58f,12937,,,7632.5,XBt,Sell,1.6948690000000002,0.0,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-07T21:00:20.959Z,PublishTrade,2018-06-07T21:00:20.959Z,806c8f5e-341a-cfb5-0d86-3e374279fdee,,,False
63908,7643.09,,,0.000662,,12937,USD,,XBME,112055,169267708,9b51063f-7519-d6bb-fa08-538e1e31007a,,Funding,12937,-1.69267708,,XBME,7643.09,12937,0,SingleSecurity,,Filled,Limit,00000000-0000-0000-0000-000000000000,12937,,,7643.09,XBt,,1.6949,0.0,,,XBTUSD,Funding,AtTheClose,2018-06-08T04:00:00.084Z,,2018-06-08T04:00:00.000Z,19b52fea-b871-5898-3d0b-32804c50720a,,,False
63908,7644.0,,,0.00075,,3350,USD,,XBME,32868,-43824700,f8b79dba-0e86-8459-e7ea-696001b790cd,,Trade,-3350,0.438247,RemovedLiquidity,XBME,7644.0,3350,8525,SingleSecurity,,PartiallyFilled,Market,63a8ab72-e5c2-8bb1-cfb3-b242370029df,11875,,,7644.0,XBt,Buy,0.4388835,1.1169,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-08T08:00:18.144Z,PublishTrade,2018-06-08T08:00:18.144Z,5dbb7d44-4f0f-c2e5-2696-34831454ef91,,,True
63908,7644.0,,,0.00075,,3400,USD,,XBME,490,-654100,12b392bb-d41d-913e-6f7b-48a3e1f4d39b,,Trade,-50,0.006541,RemovedLiquidity,XBME,7644.0,50,8475,SingleSecurity,,PartiallyFilled,Market,63a8ab72-e5c2-8bb1-cfb3-b242370029df,11875,,,7644.0,XBt,Buy,0.445434,1.1103,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-08T08:00:18.144Z,PublishTrade,2018-06-08T08:00:18.144Z,7de70a95-279c-6c13-c4b5-5f0b2390ec24,,,True
63908,7644.0,,,0.00075,,4400,USD,,XBME,9811,-13082000,cfaa9b34-be10-79d0-4a5e-4dafb9b72eac,,Trade,-1000,0.13082,RemovedLiquidity,XBME,7644.0,1000,7475,SingleSecurity,,PartiallyFilled,Market,63a8ab72-e5c2-8bb1-cfb3-b242370029df,11875,,,7644.0,XBt,Buy,0.576444,0.9793,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-08T08:00:18.144Z,PublishTrade,2018-06-08T08:00:18.144Z,dcce36eb-56f4-f9ed-b017-cf2f1cca2592,,,True
63908,7644.0,,,0.00075,,4450,USD,,XBME,490,-654100,a0c0a841-9c1b-757c-a87d-0601153cab11,,Trade,-50,0.006541,RemovedLiquidity,XBME,7644.0,50,7425,SingleSecurity,,PartiallyFilled,Market,63a8ab72-e5c2-8bb1-cfb3-b242370029df,11875,,,7644.0,XBt,Buy,0.5829945,0.9727,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-08T08:00:18.144Z,PublishTrade,2018-06-08T08:00:18.144Z,41d725dc-d241-9d6d-bf38-94c1c40789e3,,,True
63908,7644.0,,,0.00075,,11875,USD,,XBME,72850,-97133850,41583d33-d37b-11cf-2d7c-e09a123eaefa,,Trade,-7425,0.9713385,RemovedLiquidity,XBME,7644.0,7425,0,SingleSecurity,,Filled,Market,63a8ab72-e5c2-8bb1-cfb3-b242370029df,11875,,,7644.0,XBt,Buy,1.55574375,0.0,,,XBTUSD,Submitted via API.,ImmediateOrCancel,2018-06-08T08:00:18.144Z,PublishTrade,2018-06-08T08:00:18.144Z,d61463d0-0209-f5a8-5962-0a92491469e5,,,False
63908,7564.83,,,-0.00057,,1062,USD,,XBME,-8002,14038578,a50ed887-fef6-0d51-65a7-f6da66319e5c,,Funding,1062,-0.14038578,,XBME,7564.83,1062,0,SingleSecurity,,Filled,Limit,00000000-0000-0000-0000-000000000000,1062,,,7564.83,XBt,,0.1391,0.0,,,XBTUSD,Funding,AtTheClose,2018-06-08T12:00:00.138Z,,2018-06-08T12:00:00.000Z,db28a325-80da-1782-3853-aa60838d1c8f,,,False
63908,7595.0,,,-0.00025,,1062,USD,,XBME,-3495,-13983354,8af02fca-b4fd-d78b-50c2-3cbdaede7eac,Close,Trade,-1062,0.13983354,AddedLiquidity,XBME,7594.5,1062,0,SingleSecurity,,Filled,Limit,4cbdee82-742b-26de-3e80-71c74f13a9da,1062,,,7594.5,XBt,Buy,0.13913262,0.0,,,XBTUSD,"Amended orderQty: Order had execInst of Close or ReduceOnly but open buy orders exceed current position of -12937
Position Close from testnet.bitmex.com",GoodTillCancel,2018-06-08T13:13:00.989Z,PublishTrade,2018-06-08T13:13:00.989Z,7f0c6623-24cd-65f3-aef6-64b8b7e2506a,,,False
